"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Hourglass","Winter (Oct-Apr)","min",-33.76,-36.51,-32.44,0,855.23,19.06,-36.92,0,270.02,-Inf,4.77
"Hourglass","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,213,424,0,0
"Hudson Bay Mountain","Summer (May-Sep)","mean",6.37,3.8,9.35,1.56,829.89,79.45,2.58,5.12,16.55,-Inf,185.87
"Hudson Bay Mountain","Summer (May-Sep)","max",23.66,20.53,27.58,29.6,846.23,100,11.98,16.17,89.92,28.46,372.45
"Hudson Bay Mountain","Summer (May-Sep)","min",-5.49,-8.46,-3.6,0,810.32,30.38,-9.65,1.27,270.02,-Inf,17.65
"Hudson Bay Mountain","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,124,0,0,0
"Hudson Bay Mountain","Winter (Oct-Apr)","mean",-5.53,-7.7,-3.3,0.32,822.86,86.6,-7.8,5.14,15.37,-Inf,74.97
"Hudson Bay Mountain","Winter (Oct-Apr)","max",11.13,7.64,15.1,25.61,844.99,100,7.65,17.02,89.85,30.21,304.62
"Hudson Bay Mountain","Winter (Oct-Apr)","min",-30.24,-31.92,-28.73,0,796.79,25.63,-32.32,0,270.15,-Inf,5.71
"Hudson Bay Mountain","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,147,43,0,0
"Kluskus","Summer (May-Sep)","mean",10.67,Inf,-Inf,1.47,889.69,69.68,4.47,0.69,12.16,-Inf,209.06
"Kluskus","Summer (May-Sep)","max",26.52,Inf,36.15,35.6,906.78,98.49,14.08,3.26,89.9,28.71,385.52
"Kluskus","Summer (May-Sep)","min",-2.36,-13.12,-Inf,0,873.32,37.72,-8.55,0,270.2,-Inf,26.81
"Kluskus","Summer (May-Sep)","obs_na",80,0,0,49,0,80,80,80,757,0,0
"Kluskus","Winter (Oct-Apr)","mean",-4.12,-10.32,1.9,0.84,885,81.37,-7.22,0.58,359.36,5.89,76.49
"Kluskus","Winter (Oct-Apr)","max",12.5,7.47,22.66,25,913.34,99.98,8.48,3.87,89.78,18.37,300.72
"Kluskus","Winter (Oct-Apr)","min",-38.42,-45.99,-27.96,0,858.65,42.55,-41.39,0,270.02,0,2.17
"Kluskus","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,908,0,0
"Mackenzie Junction","Summer (May-Sep)","mean",12.49,4.9,19.66,1.61,931.42,71.26,6.56,1.2,333.06,7.02,201.79
"Mackenzie Junction","Summer (May-Sep)","max",27.46,17.3,38.7,46.4,951.64,96.65,17.12,3.03,89.85,18.74,381.55
"Mackenzie Junction","Summer (May-Sep)","min",-2.34,-9.85,4.45,0,904.26,32.88,-10.31,0,270.03,0,17.7
"Mackenzie Junction","Summer (May-Sep)","obs_na",0,0,0,42,40,0,0,0,0,0,189
"Mackenzie Junction","Winter (Oct-Apr)","mean",-3.74,-8.65,0.87,1.08,930.42,81.88,-6.68,1,348.1,5.75,68.99
"Mackenzie Junction","Winter (Oct-Apr)","max",14.36,10.25,23.83,29.2,961,97.97,9.93,3.56,89.96,15.4,320.71
