"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Endako","Jul","mean",14.08,5.1,22.01,1.32,918.55,68.08,7.37,1.18,2,6.72,267.96
"Endako","Jul","max",24.87,15.82,36.09,28.6,928.73,94.63,12.79,3.51,89.73,12.8,407.65
"Endako","Jul","min",5.94,-2.8,9.41,0,907.39,42.3,0.56,0.05,270.2,2.41,46.66
"Endako","Jul","obs_na",2,2,4,0,0,2,2,0,0,0,0
"Endako","Aug","mean",13.64,4.76,21.84,0.94,917.35,68.38,6.99,1.08,359.95,6.35,218.68
"Endako","Aug","max",22.63,13.69,32.59,24,929.55,94.57,13,2.97,89.67,15.77,352.08
"Endako","Aug","min",4.61,-2.07,7.82,0,899.83,42.27,-0.44,0,270.67,0,50.88
"Endako","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Endako","Sep","mean",8.4,1.14,15.93,1.15,916.56,76.47,3.96,0.98,356.43,5.98,143.22
"Endako","Sep","max",17.25,10.3,29.09,15.4,931.43,94.3,11.55,3.02,89.33,12.62,260.77
"Endako","Sep","min",-0.44,-8.17,3.04,0,889.48,52.02,-7.19,0,270.38,1.76,24.83
"Endako","Sep","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Endako","Oct","mean",2.61,-2.06,7.71,1.48,914.56,82.87,-0.22,0.98,1.26,5.66,70.57
"Endako","Oct","max",13.61,9.85,23.02,34,932.54,95.59,9.98,3.44,89.2,15.59,176.24
"Endako","Oct","min",-8.68,-15.75,-6.45,0,893.04,52.08,-14.33,0,270.09,0,6.86
"Endako","Oct","obs_na",0,0,0,0,27,0,0,0,0,0,0
"Endako","Nov","mean",-3.91,-7.88,-0.06,0.9,912.54,87.37,-5.74,0.8,4.11,4.91,34.94
"Endako","Nov","max",6.11,3.8,11.25,15.4,933.95,96.05,4.43,3.75,89.56,13.17,93.11
"Endako","Nov","min",-24.88,-30.34,-16.7,0,887.15,65.94,-27.12,0,270.44,0,3.58
"Endako","Nov","obs_na",0,0,0,0,30,0,0,0,1,0,0
"Endako","Dec","mean",-9.61,-14.06,-5.67,0.36,913.41,87.59,-11.28,0.7,2.08,4,22.13
"Endako","Dec","max",2.49,1.02,5.95,18,943.42,96.08,1.25,3.36,89.86,14.66,76.07
"Endako","Dec","min",-29.39,-34.85,-22.63,0,887.38,70.92,-32.24,0,270.09,0,3.58
"Endako","Dec","obs_na",0,0,0,0,31,0,0,47,10,24,0
"George Lake","Jan","mean",-7.78,-11.56,-3.68,0.85,911.3,88.12,-9.44,0.61,359.69,4.06,25.1
"George Lake","Jan","max",3.33,1.64,9.61,26.8,930.79,98.55,1.71,3.09,89.15,15.03,82.69
"George Lake","Jan","min",-34.1,-39.22,-27.58,0,875.95,66.8,-37.22,0,270.84,0,2.69
"George Lake","Jan","obs_na",0,0,0,0,0,0,0,26,36,8,31
"George Lake","Feb","mean",-6.68,-11.58,-1.2,0.63,911.21,82.26,-9.37,0.65,359.45,4.51,59.46
"George Lake","Feb","max",4.99,1.43,11.18,18.4,932.96,98.62,1.25,2.98,81.95,13.73,137.18
"George Lake","Feb","min",-24.15,-30.83,-21.27,0,885.23,55.87,-27.55,0,270.14,0.19,4.88
"George Lake","Feb","obs_na",0,0,0,14,0,0,0,10,28,10,28
"George Lake","Mar","mean",-2.29,-8.03,3.96,0.66,908.62,72.39,-7.05,0.82,5.61,5.6,114.21
"George Lake","Mar","max",8.25,1.64,21.2,10.4,928.56,97.73,3.32,3.32,88.1,15.21,220.1
"George Lake","Mar","min",-23.57,-32.83,-18.65,0,880.48,46.39,-30.49,0,274.36,1.3,21.81
"George Lake","Mar","obs_na",0,0,0,31,0,0,0,0,31,0,31
"George Lake","Apr","mean",2.69,-3.34,9.19,0.86,910.96,67.2,-3.56,0.81,4.67,5.98,176.64
"George Lake","Apr","max",11.87,4.82,25.65,12.2,926.22,96.77,6.46,4.39,87.43,13.54,301.13
"George Lake","Apr","min",-8.91,-17.25,-5.39,0,890.22,41.09,-17.81,0,270.37,2.41,51.7
"George Lake","Apr","obs_na",19,19,19,42,12,19,19,12,42,12,42
"George Lake","May","mean",8.89,1.49,16.05,1.16,913.11,63.21,1.2,0.85,4.57,6.02,219.74
"George Lake","May","max",17.89,10.37,29.12,15.6,927.05,94.48,10.41,3.01,89.38,11.13,361.35
"George Lake","May","min",0.57,-5.45,2.8,0,894.49,36.78,-8.17,0,270.86,1.76,55.45
"George Lake","May","obs_na",77,77,73,36,31,77,77,31,62,31,73
"George Lake","Jun","mean",12.27,5.07,19.25,1.79,912.62,66.51,5.35,0.78,11.6,5.69,237.92
"George Lake","Jun","max",21.37,13.5,32.69,31.6,923.88,96.63,13.44,2.57,89.72,12.99,375.52
"George Lake","Jun","min",3.52,-1.7,4.61,0,897.07,40.11,-3.73,0,271.19,1.67,48.23
"George Lake","Jun","obs_na",49,49,48,18,18,49,49,18,60,18,78
"George Lake","Jul","mean",15.01,7.51,22.49,1.46,915.12,67.18,8.07,0.62,11.9,5.14,226.32
"George Lake","Jul","max",23.29,15.89,34.86,27.4,926.18,94.13,13.82,2.1,89.39,10.95,340.3
"George Lake","Jul","min",6.69,-0.17,10.59,0,904.19,37.46,0.28,0,270.31,2.04,56.66
"George Lake","Jul","obs_na",39,37,39,11,0,39,39,0,62,0,43
"George Lake","Aug","mean",14.44,6.89,22.54,0.88,913.98,67.76,7.64,0.6,7.18,4.96,186.9
"George Lake","Aug","max",23.51,16.2,33.63,24.8,926.49,97.01,13.53,2.12,89.9,10.39,307.9
"George Lake","Aug","min",6.27,-0.87,9.04,0,897.29,44.33,0.43,0,270.82,1.48,39.36
"George Lake","Aug","obs_na",74,74,73,31,0,74,74,0,42,0,31
"George Lake","Sep","mean",9.23,2.69,16.98,1.14,913.3,76.29,4.66,0.6,7.96,4.86,127.54
"George Lake","Sep","max",18.02,10.15,30.37,18,928.82,96.2,11.5,2.14,89.97,12.25,237.39
"George Lake","Sep","min",0.04,-6.42,2.34,0,886.68,46.12,-4.77,0,270.9,1.3,32.29
"George Lake","Sep","obs_na",61,61,60,27,0,61,61,0,30,0,31
"George Lake","Oct","mean",3,-1.26,8.17,1.44,911.36,83.32,0.17,0.68,359.24,4.96,64.84
"George Lake","Oct","max",14.21,8.67,22.99,28.6,929.14,98.38,9.48,3.38,86.98,15.03,155.56
"George Lake","Oct","min",-10.09,-13.2,-7.28,0,888.48,51.12,-13.53,0,270.28,0,9.05
"George Lake","Oct","obs_na",13,13,12,0,0,13,13,0,31,0,31
"George Lake","Nov","mean",-3.86,-7.37,-0.02,1.03,909.22,88.1,-5.62,0.58,5.05,4.48,29.76
"George Lake","Nov","max",7.04,4.3,13.88,15.2,930.71,99.15,5.81,3.39,89.48,13.17,83.42
"George Lake","Nov","min",-25.47,-29.72,-20.07,0,884.88,62.39,-27.59,0,275.03,0,3.31
"George Lake","Nov","obs_na",0,0,0,0,0,0,0,10,30,10,30
"George Lake","Dec","mean",-9.42,-13.32,-5.58,0.44,911.23,88.01,-11.06,0.49,3.9,3.59,18.91
"George Lake","Dec","max",3,0.83,6.36,23,940.04,98.2,1.6,4.31,89.67,14.66,51.96
"George Lake","Dec","min",-30.6,-34.26,-26.55,0,884.78,59.76,-33.23,0,270.09,0,2.74
"George Lake","Dec","obs_na",0,0,0,0,0,0,0,7,31,0,31
"Gnat Pass","Jan","mean",-6.92,-8.86,-5,0.09,823.65,86.87,-8.97,2.4,9.13,7.79,19.63
"Gnat Pass","Jan","max",5.02,2.07,8.39,9.4,841.33,97.91,0.2,10.1,88.56,36.55,54
"Gnat Pass","Jan","min",-22.07,-30.41,-19.75,0,799.98,29.4,-27.14,0,271.14,0,4.88
"Gnat Pass","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Feb","mean",-9.11,-11.17,-7.01,0.01,823.42,81.63,-12.04,3,11.88,9.37,59.71
"Gnat Pass","Feb","max",-0.67,-1.7,1.51,0.4,842.32,96.36,-1.53,8.61,85.52,23.38,122.95
"Gnat Pass","Feb","min",-23.71,-27.09,-22.22,0,791.07,23.74,-31.05,0,270.28,0,18.32
"Gnat Pass","Feb","obs_na",0,0,0,0,1,0,0,0,0,0,0
"Gnat Pass","Mar","mean",-7.74,-10.13,-5.1,0.07,822.87,78.01,-11.16,3.43,13.38,10.18,129.24
"Gnat Pass","Mar","max",8.07,4.12,11.59,2,838.66,96.16,-0.73,10.9,89.37,25.05,228.68
"Gnat Pass","Mar","min",-22.26,-24.99,-20.64,0,805.74,36.7,-29.85,0,273.19,0,46.81
"Gnat Pass","Mar","obs_na",0,0,0,0,7,0,0,0,0,0,0
"Gnat Pass","Apr","mean",-3.6,-6.17,-0.78,0.5,824.37,79.8,-6.8,4.41,13.16,12.62,185.64
"Gnat Pass","Apr","max",5.5,3.25,8.57,11.8,844.36,95.94,0.66,12.22,85.46,33.21,308.44
"Gnat Pass","Apr","min",-12.09,-14.95,-10.51,0,809.7,46.94,-16,0,273.47,0,100.09
"Gnat Pass","Apr","obs_na",0,0,0,0,9,0,0,0,0,0,0
"Gnat Pass","May","mean",4.12,1.15,7.5,0.91,832.04,67.53,-2.1,3.63,11.86,11.57,256.49
"Gnat Pass","May","max",12.17,9.36,17.18,14.8,842.46,95.48,4.87,8.81,89.84,19.85,389.47
"Gnat Pass","May","min",-6.22,-9.51,-2.22,0,818.57,26.1,-12.1,0.68,270.37,6.12,97.8
"Gnat Pass","May","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Jun","mean",6.89,3.69,10.7,1.7,831.8,74.33,2.26,3.62,14.99,11.72,239.14
"Gnat Pass","Jun","max",15.25,11.08,20.08,16,841.19,96.76,9.04,7.67,89.73,19.67,396.76
"Gnat Pass","Jun","min",0.06,-2.57,2.45,0,821.79,41.85,-3.19,1.27,270.08,5.38,77.02
"Gnat Pass","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Jul","mean",8.8,5.92,12.1,2.94,833.37,78.43,4.87,3.3,11.52,11.15,205.13
"Gnat Pass","Jul","max",17.41,13.59,21.51,17.6,842.13,97.75,9.16,8.81,88.97,22.26,365.99
"Gnat Pass","Jul","min",1.89,-0.34,4.32,0,823.91,43.67,-0.38,0.72,270.14,6.68,47.55
"Gnat Pass","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Aug","mean",8.13,5.52,11.37,2.25,832.41,80.54,4.63,3.39,14.82,11.03,172.57
"Gnat Pass","Aug","max",17.99,14.19,22.01,21.4,846.79,98.3,9.43,9.29,84.59,25.05,338.12
"Gnat Pass","Aug","min",-0.13,-1.79,2.98,0,806.26,39.05,-1.34,0.74,270.03,5.57,32.65
"Gnat Pass","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Sep","mean",3.75,1.36,6.7,1.51,827.88,83.87,1,4.18,9.1,12.24,113.86
"Gnat Pass","Sep","max",14.36,10.25,18.68,19.6,840.49,98.61,7.57,11.31,88.39,33.77,251.76
"Gnat Pass","Sep","min",-2.67,-4.35,-1.02,0,802.8,37.04,-5.28,0,271.66,0,32.18
"Gnat Pass","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Oct","mean",-2.1,-3.98,-0.12,0.57,825.08,85.66,-4.32,3.85,358.21,11.38,63.68
"Gnat Pass","Oct","max",10,5.82,13.26,8.4,844.18,97.96,5.37,10.01,77.5,28.76,148.58
"Gnat Pass","Oct","min",-20.82,-22.52,-18.97,0,801.53,51.27,-22.75,0,270.08,0,17.23
"Gnat Pass","Oct","obs_na",0,0,0,0,1,0,0,0,0,0,0
"Gnat Pass","Nov","mean",-8.14,-10.38,-6.04,0.01,822.2,82.79,-11.11,2.81,8.86,8.94,28.24
"Gnat Pass","Nov","max",2.44,-0.79,6.94,0.2,841.58,96.56,-2.33,9.73,88.08,31.91,71.86
"Gnat Pass","Nov","min",-25.64,-27.46,-23.36,0,799.95,12.34,-27.95,0,270.3,0,6.75
"Gnat Pass","Nov","obs_na",0,0,0,0,4,0,0,0,0,0,0
"Gnat Pass","Dec","mean",-9.92,-12.1,-7.86,0,819.24,86.25,-11.91,2.26,6.32,7.75,14.49
"Gnat Pass","Dec","max",-1.51,-2.65,-0.31,0.2,847.56,96.61,-2.43,8.66,89.5,25.6,45.03
"Gnat Pass","Dec","min",-22,-24.77,-19.89,0,800.15,33.04,-23.78,0,270.2,0,3.83
"Gnat Pass","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gunnel","Jan","mean",-9.4,-13.58,-5.39,0.11,922.13,66.25,-16.18,4.25,10.52,13.48,20.62
"Gunnel","Jan","max",12.55,11.38,14.85,5.8,1022.05,95.02,-3.28,8.48,88.1,22.8,49.1
"Gunnel","Jan","min",-33.23,-36.46,-29.09,0,820.05,9.54,-36.42,1.4,273.8,3.6,5.09
"Gunnel","Jan","obs_na",155,155,155,155,155,155,155,186,186,186,186
"Gunnel","Feb","mean",-9.27,-13.05,-5.49,0.04,923.34,65.39,-15.57,3.5,18.07,12.6,62.27
"Gunnel","Feb","max",5.55,4.2,7.7,2,1020.86,93.33,-0.24,6.77,75.9,24.1,122.12
"Gunnel","Feb","min",-32.45,-34.4,-29,0,825.16,20.96,-35.64,0.95,289.3,4.9,11.55
"Gunnel","Feb","obs_na",141,141,141,141,141,141,141,169,169,169,169
"Gunnel","Mar","mean",-9.68,-13.58,-5.83,0.1,920.11,70.45,-14.73,3.28,12.88,12.14,120.93
"Gunnel","Mar","max",3.16,-0.2,7.3,2.2,1016.72,90.75,-3.22,8.55,87.2,31.7,208.11
"Gunnel","Mar","min",-28.08,-32.48,-26.11,0,826.83,26.88,-30.89,0.03,282.2,0.9,42.8
"Gunnel","Mar","obs_na",155,155,155,155,155,155,155,186,187,186,186
"Gunnel","Apr","mean",-1.43,-4.09,1.4,0.24,923.61,62.83,-8.54,3.33,6.64,11.58,182.58
"Gunnel","Apr","max",7.58,4.6,10.2,4.2,1017.39,96.95,0.18,7.21,70.3,19.7,291.5
"Gunnel","Apr","min",-10.45,-12.88,-7.85,0,834.93,29.73,-17.66,0,275.6,0,104.31
"Gunnel","Apr","obs_na",150,150,150,150,150,150,150,180,184,180,180
"Gunnel","May","mean",4.76,1.78,8.26,0.77,929.37,62.21,-3.29,3.21,8.84,10.19,205.15
"Gunnel","May","max",16.08,13,20,11.8,1022.58,98.65,4.59,5.85,89.1,13.9,329.37
"Gunnel","May","min",-9.73,-12.29,-7.33,0,832.18,23.92,-10.8,0.36,273.8,4.5,71.66
"Gunnel","May","obs_na",155,155,155,155,155,155,155,186,188,186,186
"Gunnel","Jun","mean",9.26,6.2,12.48,4.16,928.16,67.32,2.75,3.44,2.4,12.04,214.53
"Gunnel","Jun","max",17.78,13.3,21.5,32,1025.48,100,8.05,7.8,65.6,21,348.9
"Gunnel","Jun","min",1.57,-3.8,3.31,0,836.98,33.98,-2.18,1.71,273.8,6.3,53.7
"Gunnel","Jun","obs_na",150,150,150,150,150,150,150,180,180,180,180
"Gunnel","Jul","mean",11.58,8.7,14.8,3.12,948.08,70.29,5.77,3.3,4.42,11.58,222.22
"Gunnel","Jul","max",20.81,17.9,25.17,66,1021.24,99.35,11.79,7.04,90,20.1,328.33
"Gunnel","Jul","min",4.05,-0.16,6.22,0,845.57,40.17,0.3,1.49,271.9,6.3,82.45
"Gunnel","Jul","obs_na",138,138,138,138,138,138,138,169,169,169,186
"Gunnel","Aug","mean",10.69,8.09,13.54,3.47,922.93,69.39,4.6,2.77,3.86,10.22,156.55
"Gunnel","Aug","max",20.25,18.2,23.4,53.2,1022.56,100,11.58,5.67,75.9,17.4,293.59
"Gunnel","Aug","min",3.78,0.55,5.9,0,836.3,28.85,-2.68,0.78,272.8,4.87,32.6
"Gunnel","Aug","obs_na",131,131,130,130,130,131,131,155,155,155,167
"Gunnel","Sep","mean",4.09,1.35,6.95,0.69,904.29,70.68,-1.37,3.01,357.28,10.67,122.86
"Gunnel","Sep","max",14.27,12.4,19.04,8.2,1021.75,100,6.1,6.42,89.3,25.05,193.33
"Gunnel","Sep","min",-6.36,-9.61,-3.8,0,838.34,35.33,-9.73,0,270.9,0,38.43
"Gunnel","Sep","obs_na",134,134,134,134,150,134,134,134,136,134,164
"Gunnel","Oct","mean",0.18,-2.34,3.01,0.32,895.04,66.83,-6.09,3.11,346.9,11.06,60.38
"Gunnel","Oct","max",14.93,14.09,16,6.8,1014.09,98.48,1.88,6.48,88.2,25.98,138.85
"Gunnel","Oct","min",-9.27,-12.29,-6.7,0,826.09,21.03,-16.86,0,278.2,0,15.35
"Gunnel","Oct","obs_na",153,153,153,153,155,153,153,153,158,153,184
"Gunnel","Nov","mean",-6.7,-10.22,-3.4,0.07,921.39,70.34,-12.13,2.18,357.3,7.97,23.39
"Gunnel","Nov","max",4.94,2.03,7.9,2.2,1020.87,93.81,-1.92,6.77,87,18.3,51.13
"Gunnel","Nov","min",-24.43,-25.8,-22.4,0,820,21.46,-26.76,0,271.9,0,5.45
"Gunnel","Nov","obs_na",150,150,150,150,150,150,150,167,172,167,180
"Gunnel","Dec","mean",-11.01,-14.43,-7.68,0,919.49,67.78,-16.85,3.59,358.35,12.23,11.88
"Gunnel","Dec","max",3.6,1.9,6.2,0,1025.42,92.77,-3.39,6.82,58.1,25.9,26.45
"Gunnel","Dec","min",-31.48,-33.73,-30.17,0,820.3,13,-34.65,0.57,285.9,3.1,3.94
"Gunnel","Dec","obs_na",155,155,155,155,155,155,155,186,187,186,186
"Hourglass","Jan","mean",-6.18,-9.85,-2.64,0.1,882.31,76.09,-9.95,2.8,18.69,9.73,29.15
"Hourglass","Jan","max",7.03,5.28,10,6.2,903.4,93.4,0.53,10.41,89.72,26.27,65.3
"Hourglass","Jan","min",-29.94,-33.14,-27.83,0,855.23,29.15,-32.75,0,270.59,1.76,6.54
"Hourglass","Jan","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Hourglass","Feb","mean",-7.7,-11.43,-4.07,0.12,881.72,74.15,-11.73,2.6,20.97,9.3,65.43
"Hourglass","Feb","max",6.93,2.72,10.3,6.6,904.1,90.77,1.15,10.15,89.13,21.52,139.05
"Hourglass","Feb","min",-25.07,-31.05,-22.63,0,858.05,25.75,-27.95,0.11,270.54,2.28,11.13
"Hourglass","Feb","obs_na",0,0,0,0,0,0,0,0,56,0,0
"Hourglass","Mar","mean",-4.87,-9.19,-0.58,0.37,881.81,70.53,-9.78,2.3,13.17,8.46,124.33
"Hourglass","Mar","max",8.48,4.51,15.27,6.4,898.19,91.87,1.7,8.17,89.5,22.46,235.46
"Hourglass","Mar","min",-28.15,-34.43,-24.21,0,863.31,38.18,-33.49,0,271.83,0,16.86
"Hourglass","Mar","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Hourglass","Apr","mean",1.26,-3.17,5.49,0.59,882.81,66,-5.04,2.64,10.96,9.83,183.26
"Hourglass","Apr","max",15.17,7.72,22.85,10,898.01,94.64,2.7,8.8,88.95,21.32,306.66
"Hourglass","Apr","min",-14.54,-21.62,-11.43,0,867.33,31.15,-19.92,0.31,272.68,4.03,39.78
"Hourglass","Apr","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Hourglass","May","mean",9.16,3.76,14.31,1.28,885.78,57.59,0.19,2.36,16.25,9.58,235.6
"Hourglass","May","max",19.39,12.49,26.28,24.6,897.44,94.75,8.17,7.31,89.04,19.85,359.78
"Hourglass","May","min",-1.7,-7.28,1.26,0,874.93,25.81,-13.08,0.27,271.55,4.03,48.21
"Hourglass","May","obs_na",3,2,2,1,1,3,3,1,63,1,3
"Hourglass","Jun","mean",12.16,7.32,16.89,3.3,884.25,63.25,4.61,2.55,27.65,9.74,242.15
"Hourglass","Jun","max",22.52,16.65,29.19,106.6,895.65,95.45,11.62,6.87,88.85,15.96,399.84
"Hourglass","Jun","min",0.76,-0.68,3.38,0,872.46,34.86,-4.78,0.63,270.95,4.82,29.52
"Hourglass","Jun","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Hourglass","Jul","mean",14.89,9.71,20.18,1.99,887.28,63.41,7.24,2.25,19.7,8.96,246.8
"Hourglass","Jul","max",24.87,18.53,32.92,57,898.27,92.85,13.94,4.75,89.67,15.4,389.57
"Hourglass","Jul","min",4.58,0.3,7.17,0,877.01,29.57,0.58,0.34,270.55,4.03,34.42
"Hourglass","Jul","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Hourglass","Aug","mean",14.17,9.25,19.23,1.29,886.68,65.33,7.13,2.19,26.38,8.76,200.25
"Hourglass","Aug","max",22.47,17.03,29.04,22.2,900.26,99.23,13.32,5.7,86.22,19.67,319.32
"Hourglass","Aug","min",4.24,0.33,5.82,0,869.58,32.58,1.11,0.52,271.42,4.53,42.6
"Hourglass","Aug","obs_na",0,0,0,0,0,0,0,0,53,0,0
"Hourglass","Sep","mean",8.72,4.4,13.43,1.28,885.17,69.26,2.76,2.21,25.49,8.8,138.38
"Hourglass","Sep","max",21.87,16.23,28.32,34.6,900.68,96.05,10.73,6.58,89.02,17.51,235.93
"Hourglass","Sep","min",-4.91,-9.75,-3.45,0,862,29.21,-7.31,0.06,272.19,3.05,14.05
"Hourglass","Sep","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Hourglass","Oct","mean",2.13,-1.32,5.74,1.15,883.27,75.36,-2.22,2.08,12.34,8.53,72.12
"Hourglass","Oct","max",13.2,10.17,18.96,19,900.27,95.53,8.49,6.2,87.52,20.59,168.16
"Hourglass","Oct","min",-16.08,-19.79,-15.31,0,861.95,28.47,-18.1,0,270.95,0,9.51
"Hourglass","Oct","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Hourglass","Nov","mean",-5.54,-9.23,-2.07,0.31,880.98,77.4,-9.2,2.26,15.46,8.6,36.74
"Hourglass","Nov","max",10.41,8.74,12.97,13,902.03,92.85,5.48,8.86,86.91,24.74,87.18
"Hourglass","Nov","min",-26.78,-29.39,-24.43,0,862.85,19.06,-29.43,0,272.38,0.25,8.21
"Hourglass","Nov","obs_na",0,0,0,0,0,0,0,0,60,0,0
"Hourglass","Dec","mean",-9.26,-12.92,-5.61,0.09,881.11,76.47,-12.81,2.57,14,9.24,22.91
"Hourglass","Dec","max",7.08,4.35,10.98,6,907.36,90.9,0.04,7.65,87.63,25.13,45.71
"Hourglass","Dec","min",-32.5,-35.36,-28.21,0,861.75,39.65,-35.54,0.01,270.31,1.3,4.98
"Hourglass","Dec","obs_na",0,0,0,0,0,0,0,0,62,0,0
"Hudson Bay Mountain","Jan","mean",-7.53,-10,-5.29,1.07,819.68,93.94,-8.39,3.21,7.81,9.06,23.58
"Hudson Bay Mountain","Jan","max",0.19,-1.21,2.56,25.6,834.83,99.33,-0.82,8.78,83.75,16.37,67.69
"Hudson Bay Mountain","Jan","min",-22.85,-26.37,-19.75,0,807.3,77.48,-24.44,0,284.7,0.19,10.45
"Hudson Bay Mountain","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Feb","mean",-10.29,-13.26,-7.24,0.02,822.88,83.54,-12.96,6.55,9.08,16.16,66.03
"Hudson Bay Mountain","Feb","max",-4.13,-7.8,-1.5,0.6,834.62,99.08,-4.32,12.81,88.32,26.12,112.38
"Hudson Bay Mountain","Feb","min",-17.21,-21.13,-13.01,0,808.33,42.34,-22.05,1.34,276.8,6.43,12.9
"Hudson Bay Mountain","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Mar","mean",-7.46,-9.76,-4.86,0.02,822.07,88.96,-9.07,5.45,0.4,13.01,111.68
"Hudson Bay Mountain","Mar","max",-1.25,-2.95,1.04,0.4,830.57,98.21,-4.31,12.04,84.46,21.83,177.96
"Hudson Bay Mountain","Mar","min",-15.88,-19.84,-12.75,0,810.31,65.97,-16.98,2.52,273.3,7.02,52.07
"Hudson Bay Mountain","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Apr","mean",-3.77,-6.13,-1.27,0.15,823.87,79.7,-7.25,5.53,24.7,13.38,173.15
"Hudson Bay Mountain","Apr","max",9.04,6.1,11.59,2.2,835.83,97.98,-1.88,9.56,87.91,21.83,296.14
"Hudson Bay Mountain","Apr","min",-14.06,-16.28,-12.6,0,812.32,39.28,-15.73,2.22,276.7,7.8,83.8
"Hudson Bay Mountain","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","May","mean",4.3,1.55,7.33,0.75,829.58,73.93,-0.52,4.87,10.15,12.7,229.74
"Hudson Bay Mountain","May","max",11.45,7.09,14.53,11.4,837.18,97.65,4.1,10.81,83.23,20.66,332.18
"Hudson Bay Mountain","May","min",-1.39,-3.63,0,0,824.03,36.14,-7.33,2.12,271.43,7.41,89.63
"Hudson Bay Mountain","May","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Jun","mean",5.28,2.49,8.67,0.91,827.91,77.72,1.06,5.66,358.93,14.67,236.16
"Hudson Bay Mountain","Jun","max",19.32,16.68,22.9,7.4,836.29,97.49,6.7,16.17,85.4,28.46,350.14
"Hudson Bay Mountain","Jun","min",-0.27,-2.48,1.48,0,821.41,36.43,-3.34,2.52,272.66,8.38,131.92
"Hudson Bay Mountain","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Jul","mean",10.82,7.78,14.43,0.72,835.48,68,4.43,4.84,337.74,12.09,231.07
"Hudson Bay Mountain","Jul","max",20.16,17.23,24.24,12.2,841.22,91.11,7.58,8.22,87.03,16.76,327.08
"Hudson Bay Mountain","Jul","min",2.05,0.66,4.51,0,830.03,40.07,0.74,1.85,270.02,7.02,69.88
"Hudson Bay Mountain","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Aug","mean",9.99,6.76,13.54,0.5,831.8,67.21,3.34,5.99,0.79,14.43,199.88
"Hudson Bay Mountain","Aug","max",17.48,13.43,22.54,7,840.58,98.91,7.86,10.78,87.05,23,304.73
"Hudson Bay Mountain","Aug","min",3.62,1.51,6.13,0,824.5,30.38,-3.79,2.41,271.89,7.21,61.35
"Hudson Bay Mountain","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Sep","mean",3.85,1.59,6.43,1.95,829.45,82.54,0.8,4.65,18.13,11.87,119.25
"Hudson Bay Mountain","Sep","max",17.28,14.24,20.2,29.6,839.93,100,7.05,9.99,89.33,20.27,224.68
"Hudson Bay Mountain","Sep","min",-5.49,-8.46,-3.6,0,816.09,38.48,-9.65,1.49,271.13,4.68,17.65
"Hudson Bay Mountain","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Oct","mean",0.14,-2.16,2.42,1.13,826.75,78.59,-4.14,5.74,16.98,15.14,79.74
"Hudson Bay Mountain","Oct","max",9.94,6.99,12.82,20.8,841,100,2.62,13.48,88.96,29.82,160.04
"Hudson Bay Mountain","Oct","min",-6.02,-9.54,-3.36,0,801.28,25.63,-13.51,1.71,271.78,5.07,7.12
"Hudson Bay Mountain","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Nov","mean",-8.36,-10.36,-6.27,0.05,817.11,92.59,-9.44,4.63,12.31,11.99,32.43
"Hudson Bay Mountain","Nov","max",-3.65,-6.17,-0.06,1,829.86,99.48,-3.82,16.78,87.45,27.48,85.81
"Hudson Bay Mountain","Nov","min",-15.4,-17.86,-14,0,801.75,58.65,-18.86,0,270.15,0.19,11.86
"Hudson Bay Mountain","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0
